6401,1,1+((11-1-1)^(1+1)-1)^(1+1),1+((11-1-1)^{1+1}-1)^{1+1}
6401,2,2/2+(2*2*(22-2))^2,f22+(2*2*(22-2))^2
6401,3,(3+3!!*3!!/3^3)/3,f{3+f{3!!*3!!}{3^3}}3
6401,4,√4/√4+(4*(4!-4))^√4,f{s4}{s4}+(4*(4!-4))^{s4}
6401,5,5/5+√(√√5+√√5)*√√√(√(√√5+√√5)^5!),f55+s{s{s5}+s{s5}}*s{s{s{s{s{s5}+s{s5}}^{5!}}}}
6401,6,6/6+6!*6!-(6/(√6!+√6!))^-6,f66+6!*6!-(f6{s{6!}+s{6!}})^{-6}
6401,7,7/7+(√√7+√√7)^7*(√√7+√(√7^-7)),f77+(s{s7}+s{s7})^7*(s{s7}+s{s7^{-7}})
6401,8,8/8+√√(88-8)^8,f88+s{s{88-8}}^8
6401,9,(√9)!/√9+9*((√9)!!-9),f{(s9)!}{s9}+9*((s9)!!-9)
6402,1,1+1+((11-1-1)^(1+1)-1)^(1+1),1+1+((11-1-1)^{1+1}-1)^{1+1}
6402,2,2+(2*2*(22-2))^2,2+(2*2*(22-2))^2
6402,3,3+(3+3!)*(3!!-3!-3),3+(3+3!)*(3!!-3!-3)
6402,4,√4+(4*(4!-4))^√4,s4+(4*(4!-4))^{s4}
6402,5,(5+5)/5+√(√√5+√√5)*√√√(√(√√5+√√5)^5!),f{5+5}5+s{s{s5}+s{s5}}*s{s{s{s{s{s5}+s{s5}}^{5!}}}}
6402,6,66+6!+6*(√6^6+6!),66+6!+6*(s6^6+6!)
6402,7,(7!-7+7!)/7-77+7!,f{7!-7+7!}7-77+7!
6402,8,√√(8+8)+√√(88-8)^8,s{s{8+8}}+s{s{88-8}}^8
6402,9,√9+9*((√9)!!-9),s9+9*((s9)!!-9)
6403,1,1+1+1+((11-1-1)^(1+1)-1)^(1+1),1+1+1+((11-1-1)^{1+1}-1)^{1+1}
6403,2,2+2/2+(2*2*(22-2))^2,2+f22+(2*2*(22-2))^2
