1,1,1,1
1,2,2/2,f22
1,3,3/3,f33
1,4,√4/√4,f{s4}{s4}
1,5,5/5,f55
1,6,6/6,f66
1,7,7/7,f77
1,8,8/8,f88
1,9,√9/√9,f{s9}{s9}
2,1,1+1,1+1
2,2,2,2
2,3,3!/3,f{3!}3
2,4,√4,s4
2,5,(5+5)/5,f{5+5}5
2,6,(6+6)/6,f{6+6}6
2,7,(7+7)/7,f{7+7}7
2,8,√√(8+8),s{s{8+8}}
2,9,(√9)!/√9,f{(s9)!}{s9}
3,1,1+1+1,1+1+1
3,2,2+2/2,2+f22
3,3,3,3
3,4,√4+√4/√4,s4+f{s4}{s4}
3,5,5-(5+5)/5,5-f{5+5}5
3,6,6/(6+6)/6,f6{f{6+6}6}
3,7,(7+7+7)/7,f{7+7+7}7
3,8,(√(8+8))!/8,f{(s{8+8})!}8
3,9,√9,s9
4,1,(1+1)^(1+1),(1+1)^{1+1}
4,2,2^2,2^2
4,3,3+3/3,3+f33
4,4,4,4
4,5,5-5/5,5-f55
4,6,6-(6+6)/6,6-f{6+6}6
4,7,77/7-7,f{77}7-7
4,8,√(8+8),s{8+8}
4,9,√9+√9/√9,s9+f{s9}{s9}
5,1,(1+1+1)!-1,(1+1+1)!-1
5,2,2+2+2/2,2+2+f22
5,3,3!/3+3,f{3!}3+3
5,4,4+√4/√4,4+f{s4}{s4}
5,5,5,5
5,6,6-6/6,6-f66
5,7,7-(7+7)/7,7-f{7+7}7
5,8,√(8+8)+8/8,s{8+8}+f88
5,9,(√9)!/√9+√9,f{(s9)!}{s9}+s9
6,1,(1+1+1)!,(1+1+1)!
6,2,(2+2/2)!,(2+f22)!
6,3,3!,3!
6,4,√4+4,s4+4
6,5,5+5/5,5+f55
6,6,6,6
6,7,7-7/7,7-f77
6,8,((√(8+8))!/8)!,(f{(s{8+8})!}8)!
6,9,(√9)!,(s9)!
7,1,1+(1+1+1)!,1+(1+1+1)!
7,2,2+2+2/2+2,2+2+f22+2
7,3,3/3+3!,f33+3!
7,4,(4+4!)/4,f{4+4!}4
7,5,(5+5)/5+5,f{5+5}5+5
7,6,6/6+6,f66+6
7,7,7,7
7,8,8-8/8,8-f88
7,9,√9/√9+(√9)!,f{s9}{s9}+(s9)!
8,1,(1+1)^(1+1+1),(1+1)^{1+1+1}
8,2,2*2^2,2*2^2
8,3,(3!/3)^3,(f{3!}3)^3
8,4,√4*4,s4*4
8,5,5!/(5+5+5),f{5!}{5+5+5}
8,6,√((6+6)/6)^6,s{f{6+6}6}^6
8,7,7/7+7,f77+7
8,8,8,8
8,9,((√9)!/√9)^√9,(f{(s9)!}{s9})^{s9}
9,1,11-1-1,11-1-1
9,2,22/2-2,f{22}2-2
9,3,3+3!,3+3!
9,4,√4+(4+4!)/4,s4+f{4+4!}4
9,5,5-5/5+5,5-f55+5
9,6,6/(6+6)/6+6,f6{f{6+6}6}+6
9,7,(7+7)/7+7,f{7+7}7+7
9,8,8/8+8,f88+8
9,9,9,9
10,1,11-1,11-1
10,2,2+2*2^2,2+2*2^2
10,3,3+3/3+3!,3+f33+3!
10,4,√4+√4*4,s4+s4*4
10,5,5+5,5+5
10,6,6!/6/(6+6),f{f{6!}6}{6+6}
10,7,(77-7)/7,f{77-7}7
10,8,√√(8+8)+8,s{s{8+8}}+8
10,9,√9/√9+9,f{s9}{s9}+9
11,1,11,11
11,2,22/2,f{22}2
