9901,1,1+(11-1-1)*(1111-11),1+(11-1-1)*(1111-11)
9901,2,(2+((2*2^2)!-(2+2/2)!!)/2)/2,f{2+f{(2*2^2)!-(2+f22)!!}2}2
9901,3,3/3+3!*(3!^3-3!+3!!+3!!),f33+3!*(3!^3-3!+3!!+3!!)
9901,4,(4+(4+4)!-(4+√4)!)/4,f{4+(4+4)!-(4+s4)!}4
9901,5,5/5+55*(5+55+5!),f55+55*(5+55+5!)
9901,6,6/6+6*(√6^6-6+6!+6!),f66+6*(s6^6-6+6!+6!)
9901,7,7!/(7+7)+7!-7*77+7!,f{7!}{7+7}+7!-7*77+7!
9901,8,8/8+(8!-((√(8+8))!/8)!!)/√(8+8),f88+f{8!-(f{(s{8+8})!}8)!!}{s{8+8}}
9901,9,((√9)!+(9!-9*(√9)!!)/(√9)!)/(√9)!,f{(s9)!+f{9!-9*(s9)!!}{(s9)!}}{(s9)!}
9902,1,1+1+(11-1-1)*(1111-11),1+1+(11-1-1)*(1111-11)
9902,2,2+22*(2+2*(2+222)),2+22*(2+2*(2+222))
9902,3,3!/3+3!*(3!^3-3!+3!!+3!!),f{3!}3+3!*(3!^3-3!+3!!+3!!)
9902,4,√4+((√4*4)!-(√4+4)!)/4,s4+f{(s4*4)!-(s4+4)!}4
9902,5,(5+5)/5+55*(5+55+5!),f{5+5}5+55*(5+55+5!)
9902,6,(6+6)/6+6*(√6^6-6+6!+6!),f{6+6}6+6*(s6^6-6+6!+6!)
9902,7,7!-(√7^7-√7)/(√7+√7)-7+7!,7!-f{s7^7-s7}{s7+s7}-7+7!
9902,8,√√(8+8)*((8!-8)/8-88),s{s{8+8}}*(f{8!-8}8-88)
9902,9,(√9)!/√9+(9!-9*(√9)!!)/(√9)!*(√9)!,f{(s9)!}{s9}+f{9!-9*(s9)!!}{(s9)!*(s9)!}
9903,1,1+1+1+(11-1-1)*(1111-11),1+1+1+(11-1-1)*(1111-11)
9903,2,2+(2+((2*2^2)!-(2+2/2)!!)/2)/2,2+f{2+f{(2*2^2)!-(2+f22)!!}2}2
9903,3,3+3!*(3!^3-3!+3!!+3!!),3+3!*(3!^3-3!+3!!+3!!)
9903,4,√4+(4+(4+4)!-(4+√4)!)/4,s4+f{4+(4+4)!-(4+s4)!}4
9903,5,(5!-5)/5+(5+5)^(5-5/5)-5!,f{5!-5}5+(5+5)^{5-f55}-5!
9903,6,6*(√6^6-6+6!+6!+6/(6+6)),6*(s6^6-6+6!+6!+f6{6+6})
9903,7,7!-((7+7)/7)^7-7*7+7!,7!-(f{7+7}7)^7-7*7+7!
9903,8,(8!+8!-8)/8-88-88,f{8!+8!-8}8-88-88
9903,9,√9+(9!-9*(√9)!!)/(√9)!*(√9)!,s9+f{9!-9*(s9)!!}{(s9)!*(s9)!}
