601,1,1+(1+1+1)!!-((1+1+1)!-1)!,1+(1+1+1)!!-((1+1+1)!-1)!
601,2,(2^2)!+(2^2)!^2+2/2,(2^2)!+(2^2)!^2+f22
601,3,3!!-(3!!-3!)/3!,3!!-f{3!!-3!}{3!}
601,4,√4/√4+4!+4!^√4,f{s4}{s4}+4!+4!^{s4}
601,5,5/5+5*5!,f55+5*5!
601,6,6!-(6!-6)/6,6!-f{6!-6}6
601,7,7+7!/7-77-7*7,7+f{7!}7-77-7*7
601,8,(8+√8^8)/8+88,f{8+s8^8}8+88
601,9,(√9)!!-((√9)!!-(√9)!)/(√9)!,(s9)!!-f{(s9)!!-(s9)!}{(s9)!}
602,1,1+1+(1+1+1)!!-((1+1+1)!-1)!,1+1+(1+1+1)!!-((1+1+1)!-1)!
602,2,2+(2^2)!+(2^2)!^2,2+(2^2)!+(2^2)!^2
602,3,3!/3+3!!-3!!/3!,f{3!}3+3!!-f{3!!}{3!}
602,4,√4+4!+4!^√4,s4+4!+4!^{s4}
602,5,(5+5)/5+5*5!,f{5+5}5+5*5!
602,6,6!-(6!-6-6)/6,6!-f{6!-6-6}6
602,7,7+7+7*(7+77),7+7+7*(7+77)
602,8,(((√(8+8))!/8)!!+√8^8)/8,f{(f{(s{8+8})!}8)!!+s8^8}8
602,9,(√9)!/√9+(√9)!!-(√9)!!/(√9)!,f{(s9)!}{s9}+(s9)!!-f{(s9)!!}{(s9)!}
603,1,(1+1+1)!!-111-(1+1+1)!,(1+1+1)!!-111-(1+1+1)!
603,2,((2^2)!+2/2)^2-22,((2^2)!+f22)^2-22
603,3,3+3!!-3!!/3!,3+3!!-f{3!!}{3!}
603,4,4!+4!*(4!+√√√√(4^-4!)),4!+4!*(4!+s{s{s{s{4^{-4!}}}}})
603,5,5-(5+5)/5+5*5!,5-f{5+5}5+5*5!
603,6,6!-666/6-6,6!-f{666}6-6
603,7,√(7/7+7!)-7+7*77,s{f77+7!}-7+7*77
603,8,((√(8+8))!+√8^8)/8+88,f{(s{8+8})!+s8^8}8+88
603,9,√(9+(√9)!!+9!),s{9+(s9)!!+9!}
604,1,((1+1+1)!-1)*11^(1+1)-1,((1+1+1)!-1)*11^{1+1}-1
604,2,2+2+(2^2)!+(2^2)!^2,2+2+(2^2)!+(2^2)!^2
