3101,1,(1+1)*(111+(1+1)*(1+1+1)!!)-1,(1+1)*(111+(1+1)*(1+1+1)!!)-1
3101,2,√√(2+2+2/2)^(22-2)-(2^2)!,s{s{2+2+f22}}^{22-2}-(2^2)!
3101,3,(3!!-3)/3+3!!+3*(3!!-3!),f{3!!-3}3+3!!+3*(3!!-3!)
3101,4,√√(4+√4/√4)^(4!-4)-4!,s{s{4+f{s4}{s4}}}^{4!-4}-4!
3101,5,5^5-5!/5,5^5-f{5!}5
3101,6,6-6/6+6!+6*6*66,6-f66+6!+6*6*66
3101,7,7+7+7*7*(7+7+7*7),7+7+7*7*(7+7+7*7)
3101,8,(8+8*(8!-8))/(8+8+88),f{8+8*(8!-8)}{8+8+88}
3101,9,(√9)!!/9-√9+(√9)!*9!/(√9)!!,f{(s9)!!}9-s9+(s9)!*f{9!}{(s9)!!}
3102,1,(1+1)*(111+(1+1)*(1+1+1)!!),(1+1)*(111+(1+1)*(1+1+1)!!)
3102,2,222+2*2*(2+2/2)!!,222+2*2*(2+f22)!!
3102,3,3!+3!!+3*3!!+3!^3,3!+3!!+3*3!!+3!^3
3102,4,√4+4+4!/√4*(√4+4^4),s4+4+f{4!}{s4}*(s4+4^4)
3102,5,5^5-(5!-5)/5,5^5-f{5!-5}5
3102,6,6+6!+6*6*66,6+6!+6*6*66
3102,7,7*(7+7*77)-7!/7,7*(7+7*77)-f{7!}7
3102,8,(88/8)!/8!+(√(8+8))!*88,f{(f{88}8)!}{8!}+(s{8+8})!*88
3102,9,(√9)!+(√9)!*(√9)!*((√9)!+(√9)!!/9),(s9)!+(s9)!*(s9)!*((s9)!+f{(s9)!!}9)
3103,1,1+(1+1)*(111+(1+1)*(1+1+1)!!),1+(1+1)*(111+(1+1)*(1+1+1)!!)
3103,2,√(2+2^-2)*(22+√(2^22))-2,s{2+2^{-2}}*(22+s{2^{22}})-2
3103,3,3+3!!+(3!!-3!)*3!!/3!^3,3+3!!+f{(3!!-3!)*3!!}{3!^3}
3103,4,√4+√√(4+√4/√4)^(4!-4)-4!,s4+s{s{4+f{s4}{s4}}}^{4!-4}-4!
3103,5,5^5-(5!-5-5)/5,5^5-f{5!-5-5}5
3103,6,6/6+6+6!+6*6*66,f66+6+6!+6*6*66
3103,7,7+(√7+√7^7)*(√7+(√7+√7)/7),7+(s7+s7^7)*(s7+f{s7+s7}7)
3103,8,(8!-8)/8-√√(88/√√(8+8))^8,f{8!-8}8-s{s{f{88}{s{s{8+8}}}}}^8
3103,9,((√9)!!-9)/9+(√9)!*9!/(√9)!!,f{(s9)!!-9}9+(s9)!*f{9!}{(s9)!!}
