7901,1,1+1+1+11*((1+1+1)!!-1-1),1+1+1+11*((1+1+1)!!-1-1)
7901,2,2+(2+22*((2+2/2)!!-2))/2,2+f{2+22*((2+f22)!!-2)}2
7901,3,3!+(3!!-3!+3!^3!)/3!,3!+f{3!!-3!+3!^{3!}}{3!}
7901,4,√(√√(4!-4)^4!)-4!*(4+√√√√(4^-4!)),s{s{s{4!-4}}^{4!}}-4!*(4+s{s{s{s{4^{-4!}}}}})
7901,5,5+5!+(5+5/5)^5,5+5!+(5+f55)^5
7901,6,6+(6!-6+6^6)/6,6+f{6!-6+6^6}6
7901,7,(77/7*(7!-7)-7)/7-7,f{f{77}7*(7!-7)-7}7-7
7901,8,√(8+8)+√√(8/8+88)^8-(√(8+8))!,s{8+8}+s{s{f88+88}}^8-(s{8+8})!
7901,9,((√9)!/√(√9)!!)^-(√9)!-99,(f{(s9)!}{s{(s9)!!}})^{-(s9)!}-99
7902,1,11*((1+1+1)!!-1)-(1+1+1)!-1,11*((1+1+1)!!-1)-(1+1+1)!-1
7902,2,2+2+22/2*((2+2/2)!!-2),2+2+f{22}2*((2+f22)!!-2)
7902,3,3!+(3!!+3!^3!)/3!,3!+f{3!!+3!^{3!}}{3!}
7902,4,√(√√(4!-4)^4!)-4*4!-√4,s{s{s{4!-4}}^{4!}}-4*4!-s4
7902,5,5+5/5+5!+(5+5/5)^5,5+f55+5!+(5+f55)^5
7902,6,6+(6!+6^6)/6,6+f{6!+6^6}6
7902,7,77/7*(7!-7)/7-7,f{77}7*f{7!-7}7-7
7902,8,(8/8+8)*(888-8-√√(8+8)),(f88+8)*(888-8-s{s{8+8}})
7902,9,(√9)!+((√9)!!+(√9)!^(√9)!)/(√9)!,(s9)!+f{(s9)!!+(s9)!^{(s9)!}}{(s9)!}
7903,1,11*((1+1+1)!!-1)-(1+1+1)!,11*((1+1+1)!!-1)-(1+1+1)!
7903,2,√2^(2+(2^2)!)-(2+(2^2)!^2)/2,s2^{2+(2^2)!}-f{2+(2^2)!^2}2
7903,3,3!+(3!+3!!+3!^3!)/3!,3!+f{3!+3!!+3!^{3!}}{3!}
7903,4,√(√√(4!-4)^4!)-4*4!-√4/√4,s{s{s{4!-4}}^{4!}}-4*4!-f{s4}{s4}
7903,5,(5!-5)/5+√√((√5+√5)^(5!/5))-5!,f{5!-5}5+s{s{(s5+s5)^{f{5!}5}}}-5!
7903,6,6+(6+6!+6^6)/6,6+f{6+6!+6^6}6
7903,7,7*(7*7+7!/(7+7))+7!,7*(7*7+f{7!}{7+7})+7!
7903,8,√((8+8!)/8)+88+√√88^8,s{f{8+8!}8}+88+s{s{88}}^8
7903,9,(√9)!+((√9)!+(√9)!!+(√9)!^(√9)!)/(√9)!,(s9)!+f{(s9)!+(s9)!!+(s9)!^{(s9)!}}{(s9)!}
7904,1,1+11*((1+1+1)!!-1)-(1+1+1)!,1+11*((1+1+1)!!-1)-(1+1+1)!
7904,2,2*(√2^(2^2)!-((2^2)!/2)^2),2*(s2^{(2^2)!}-(f{(2^2)!}2)^2)
7904,3,(3!/3)^3+(3!!+3!^3!)/3!,(f{3!}3)^3+f{3!!+3!^{3!}}{3!}
7904,4,√(√√(4!-4)^4!)-4*4!,s{s{s{4!-4}}^{4!}}-4*4!
7904,5,5!/5+√√((√5+√5)^(5!/5))-5!,f{5!}5+s{s{(s5+s5)^{f{5!}5}}}-5!
7904,6,6+(6+6+6!+6^6)/6,6+f{6+6+6!+6^6}6
7904,7,((77/7)!-7!-7!)/7!-7-7,f{(f{77}7)!-7!-7!}{7!}-7-7
7904,8,8*((88/8)!/8!-√√(8+8)),8*(f{(f{88}8)!}{8!}-s{s{8+8}})
7904,9,√9+((√9)!/√(√9)!!)^-(√9)!-99,s9+(f{(s9)!}{s{(s9)!!}})^{-(s9)!}-99
7905,1,11*((1+1+1)!!-1)-1-1-1-1,11*((1+1+1)!!-1)-1-1-1-1
7905,2,√2^(2+(2^2)!)-((2^2)!^2-2)/2,s2^{2+(2^2)!}-f{(2^2)!^2-2}2
7905,3,3+3!+(3!!+3!^3!)/3!,3+3!+f{3!!+3!^{3!}}{3!}
7905,4,√4/√4+√(√√(4!-4)^4!)-4*4!,f{s4}{s4}+s{s{s{4!-4}}^{4!}}-4*4!
7905,5,5*5+√√((√5+√5)^(5!/5))-5!,5*5+s{s{(s5+s5)^{f{5!}5}}}-5!
7905,6,6+(6+6+6+6!+6^6)/6,6+f{6+6+6+6!+6^6}6
7905,7,((77/7)!-7!)/7!-7-7,f{(f{77}7)!-7!}{7!}-7-7
7905,8,√√(8/8+88)^8-8-8,s{s{f88+88}}^8-8-8
7905,9,9+((√9)!!+(√9)!^(√9)!)/(√9)!,9+f{(s9)!!+(s9)!^{(s9)!}}{(s9)!}
7906,1,11*((1+1+1)!!-1)-1-1-1,11*((1+1+1)!!-1)-1-1-1
7906,2,2+2*(√2^(2^2)!-((2^2)!/2)^2),2+2*(s2^{(2^2)!}-(f{(2^2)!}2)^2)
7906,3,3+3!+(3!+3!!+3!^3!)/3!,3+3!+f{3!+3!!+3!^{3!}}{3!}
7906,4,√4+√(√√(4!-4)^4!)-4*4!,s4+s{s{s{4!-4}}^{4!}}-4*4!
7906,5,5+5+5!+(5+5/5)^5,5+5+5!+(5+f55)^5
7906,6,6+(66*6!-6!/6)/6,6+f{66*6!-f{6!}6}6
7906,7,(77/7)!/7!-7-7,f{(f{77}7)!}{7!}-7-7
7906,8,√((√(8+8))!/8)!^8/8+√√88^8,f{s{(f{(s{8+8})!}8)!}^8}8+s{s{88}}^8
7906,9,9+((√9)!+(√9)!!+(√9)!^(√9)!)/(√9)!,9+f{(s9)!+(s9)!!+(s9)!^{(s9)!}}{(s9)!}
7907,1,11*((1+1+1)!!-1)-1-1,11*((1+1+1)!!-1)-1-1
7907,2,22/2*((2+2/2)!!-2/2)-2,f{22}2*((2+f22)!!-f22)-2
7907,3,33/3+(3!!+3!^3!)/3!,f{33}3+f{3!!+3!^{3!}}{3!}
7907,4,√(√√(4!-4)^4!)-4!*(4-√√√√(4^-4!)),s{s{s{4!-4}}^{4!}}-4!*(4-s{s{s{s{4^{-4!}}}}})
7907,5,55/5+5!+(5+5/5)^5,f{55}5+5!+(5+f55)^5
7907,6,(6!+66+6^6)/6,f{6!+66+6^6}6
7907,7,(7!+(77/7)!)/7!-7-7,f{7!+(f{77}7)!}{7!}-7-7
7907,8,√√(8+8)+√√(8/8+88)^8-8-8,s{s{8+8}}+s{s{f88+88}}^8-8-8
7907,9,(√9)!+((√9)!/√(√9)!!)^-(√9)!-99,(s9)!+(f{(s9)!}{s{(s9)!!}})^{-(s9)!}-99
7908,1,11*((1+1+1)!!-1)-1,11*((1+1+1)!!-1)-1
