5401,1,1+(1+1+1)!!/(1+1)+(1+(1+1+1)!)!,1+f{(1+1+1)!!}{1+1}+(1+(1+1+1)!)!
5401,2,2/2+((2+2/2)!!/2)^2/(2^2)!,f22+f{(f{(2+f22)!!}2)^2}{(2^2)!}
5401,3,3/3+(3+3!)*(3!!-3!!/3!),f33+(3+3!)*(3!!-f{3!!}{3!})
5401,4,(4+√((4+√4)!^4)/4!)/4,f{4+f{s{(4+s4)!^4}}{4!}}4
5401,5,5/5+5*(5*(5!+5!)-5!),f55+5*(5*(5!+5!)-5!)
5401,6,6/6+6*6*(√6^6-66),f66+6*6*(s6^6-66)
5401,7,7/7+7!/(7+7)+7!,f77+f{7!}{7+7}+7!
5401,8,√√(88/8+8)^8+8!/8,s{s{f{88}8+8}}^8+f{8!}8
5401,9,√9/√9+9*((√9)!!-(√9)!!/(√9)!),f{s9}{s9}+9*((s9)!!-f{(s9)!!}{(s9)!})
5402,1,1+1+(1+1+1)!!/(1+1)+(1+(1+1+1)!)!,1+1+f{(1+1+1)!!}{1+1}+(1+(1+1+1)!)!
5402,2,2+((2+2/2)!!/2)^2/(2^2)!,2+f{(f{(2+f22)!!}2)^2}{(2^2)!}
5402,3,3!/3+(3+3!)*(3!!-3!!/3!),f{3!}3+(3+3!)*(3!!-f{3!!}{3!})
5402,4,√4+(√4+4)!^√4/4!/4,s4+f{f{(s4+4)!^{s4}}{4!}}4
5402,5,(5+5)/5+5*(5*(5!+5!)-5!),f{5+5}5+5*(5*(5!+5!)-5!)
5402,6,(6/√6!)^-6-6-(6+6)*√6^6,(f6{s{6!}})^{-6}-6-(6+6)*s6^6
5402,7,(7+7)/7+7!/(7+7)+7!,f{7+7}7+f{7!}{7+7}+7!
5402,8,√√(88/8+8)^8+(8+8!)/8,s{s{f{88}8+8}}^8+f{8+8!}8
5402,9,(√9)!/√9+9*((√9)!!-(√9)!!/(√9)!),f{(s9)!}{s9}+9*((s9)!!-f{(s9)!!}{(s9)!})
5403,1,(1+1+1)*11^(1+1)+(1+(1+1+1)!)!,(1+1+1)*11^{1+1}+(1+(1+1+1)!)!
5403,2,2*((2*(2+(2^2)!))^2-2)-2/2,2*((2*(2+(2^2)!))^2-2)-f22
5403,3,3+(3+3!)*(3!!-3!!/3!),3+(3+3!)*(3!!-f{3!!}{3!})
5403,4,√4+(4+√((4+√4)!^4)/4!)/4,s4+f{4+f{s{(4+s4)!^4}}{4!}}4
5403,5,((5!-5)*(5!-5+5!)-5-5)/5,f{(5!-5)*(5!-5+5!)-5-5}5
5403,6,6!+6*(6!+(6+6!)/(6+6)),6!+6*(6!+f{6+6!}{6+6})
5403,7,(7*7-7+7!)/(7+7)+7!,f{7*7-7+7!}{7+7}+7!
5403,8,√(8+8)*88+(88+8!)/8,s{8+8}*88+f{88+8!}8
5403,9,√9+9*((√9)!!-(√9)!!/(√9)!),s9+9*((s9)!!-f{(s9)!!}{(s9)!})
5404,1,1+(1+1+1)*11^(1+1)+(1+(1+1+1)!)!,1+(1+1+1)*11^{1+1}+(1+(1+1+1)!)!
5404,2,2*((2*(2+(2^2)!))^2-2),2*((2*(2+(2^2)!))^2-2)
5404,3,(3!!+√(3!*(3!+3!!)^3))/3/3,f{f{3!!+s{3!*(3!+3!!)^3}}3}3
5404,4,√4*(4*(√4+4!)^√4-√4),s4*(4*(s4+4!)^{s4}-s4)
5404,5,((5!-5)*(5!-5+5!)-5)/5,f{(5!-5)*(5!-5+5!)-5}5
5404,6,6/6+6!+6*(6!+(6+6!)/(6+6)),f66+6!+6*(6!+f{6+6!}{6+6})
5404,7,7+7+7+7*7*7+7!,7+7+7+7*7*7+7!
5404,8,8+√((√√(8+8)+((√(8+8))!/8)!!)*(8+8!)),8+s{(s{s{8+8}}+(f{(s{8+8})!}8)!!)*(8+8!)}
5404,9,((√9)!!+√((√9)!*((√9)!+(√9)!!)^√9))/9,f{(s9)!!+s{(s9)!*((s9)!+(s9)!!)^{s9}}}9
5405,1,((1+1+1)!-1)*(1+(1+1+1)!!*(1+1/(1+1))),((1+1+1)!-1)*(1+(1+1+1)!!*(1+f1{1+1}))
5405,2,2/2+2*((2*(2+(2^2)!))^2-2),f22+2*((2*(2+(2^2)!))^2-2)
5405,3,(3-3/3!)*(3!/3+3*3!!),(3-f3{3!})*(f{3!}3+3*3!!)
5405,4,4+(4+√((4+√4)!^4)/4!)/4,4+f{4+f{s{(4+s4)!^4}}{4!}}4
5405,5,5+5*(5*(5!+5!)-5!),5+5*(5*(5!+5!)-5!)
5405,6,6-6/6+6*6*(√6^6-66),6-f66+6*6*(s6^6-66)
5405,7,(77-7+7!)/(7+7)+7!,f{77-7+7!}{7+7}+7!
