8901,1,(1+1+1)!!-11+(1+1)^(1+1+11),(1+1+1)!!-11+(1+1)^{1+1+11}
8901,2,22/2+2+2*2*2222,f{22}2+2+2*2*2222
8901,3,3+3!!/3+3!*(3+3!!+3!!),3+f{3!!}3+3!*(3+3!!+3!!)
8901,4,(√(4!^4)-4!)*(4*4+√√√√(4^-4!)),(s{4!^4}-4!)*(4*4+s{s{s{s{4^{-4!}}}}})
8901,5,(5+5+5)*(5*5!-5)-5!/5,(5+5+5)*(5*5!-5)-f{5!}5
8901,6,(6+6!/6+6!+6!)/6+(6+6)*6!,f{6+f{6!}6+6!+6!}6+(6+6)*6!
8901,7,7+7+(7^7-77*7!)/7/7,7+7+f{f{7^7-77*7!}7}7
8901,8,(8/8+8)*((88/8)!-8!)/8!,(f88+8)*f{(f{88}8)!-8!}{8!}
8901,9,√9*((√9)!*(9!/(√9)!!-9)-√9),s9*((s9)!*(f{9!}{(s9)!!}-9)-s9)
8902,1,1+(1+1+1)!!-11+(1+1)^(1+1+11),1+(1+1+1)!!-11+(1+1)^{1+1+11}
8902,2,2+2*(2+2*(2+2222)),2+2*(2+2*(2+2222))
8902,3,3+(3+3!!)/3+3!*(3+3!!+3!!),3+f{3+3!!}3+3!*(3+3!!+3!!)
8902,4,√4+√√√4^4!+(4*4!-√4)^√4,s4+s{s{s4}}^{4!}+(4*4!-s4)^{s4}
8902,5,(5+5+5)*(5*5!-5)-(5!-5)/5,(5+5+5)*(5*5!-5)-f{5!-5}5
8902,6,(6+6)*(6!+(6!+66)/6/6),(6+6)*(6!+f{f{6!+66}6}6)
8902,7,(77/7)!/(7!+7!)-7*(7+7)+7!,f{(f{77}7)!}{7!+7!}-7*(7+7)+7!
8902,8,((√(8+8))!/8)!+8+8888,(f{(s{8+8})!}8)!+8+8888
8902,9,(√9)!+((√9)!^(√9)!+9!/(√9)!/9)/(√9)!,(s9)!+f{(s9)!^{(s9)!}+f{f{9!}{(s9)!}}9}{(s9)!}
8903,1,(11+1)*(11+11+(1+1+1)!!)-1,(11+1)*(11+11+(1+1+1)!!)-1
8903,2,((2^2)!*(22+(2+2/2)!!)-2)/2,f{(2^2)!*(22+(2+f22)!!)-2}2
8903,3,3+(3!+3!!)/3+3!*(3+3!!+3!!),3+f{3!+3!!}3+3!*(3+3!!+3!!)
8903,4,4!+(√4+4/4!)*(√4+√√(4^4!)),4!+(s4+f4{4!})*(s4+s{s{4^{4!}}})
8903,5,(5!*5!+(5+5)!/5!)/5-5*5,f{5!*5!+f{(5+5)!}{5!}}5-5*5
8903,6,(6!-6)/6+(6+6)*(6+6+6!),f{6!-6}6+(6+6)*(6+6+6!)
8903,7,7+(7!+(√7+√7)^(7-7/7))/7+7!,7+f{7!+(s7+s7)^{7-f77}}7+7!
8903,8,8+8-8/8+8888,8+8-f88+8888
8903,9,√9+(√9)!!*(9+((√9)!+(√9)!!)/(√9)!^√9),s9+(s9)!!*(9+f{(s9)!+(s9)!!}{(s9)!^{s9}})
8904,1,(11+1)*(11+11+(1+1+1)!!),(11+1)*(11+11+(1+1+1)!!)
8904,2,2*2*(2+2+2222),2*2*(2+2+2222)
8904,3,(3!+3!)*(√(3!*(3!+3!!))/3+3!!),(3!+3!)*(f{s{3!*(3!+3!!)}}3+3!!)
8904,4,4!/√4*(4!-√4+(√4+4)!),f{4!}{s4}*(4!-s4+(s4+4)!)
